56256,22,-1,148,-1,161,101,12,24,148,68,45,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
56441,21,25,148,-1,99,96,12,105,148,67,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
56601,19,25,148,-1,91,83,16,82,148,67,45,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
56779,20,24,148,-1,111,86,16,28,148,65,47,25,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
56957,20,25,148,-1,121,74,18,28,148,68,45,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
57142,20,24,147,-1,104,93,20,82,148,65,47,25,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
57306,21,27,148,-1,104,92,20,26,148,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
57487,21,24,148,-1,108,92,21,26,148,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
57644,20,24,148,154,111,86,18,25,148,67,46,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
57819,20,25,148,-1,90,86,17,25,148,66,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
57976,20,25,148,152,110,85,17,24,148,65,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
58151,20,25,148,-1,89,84,19,25,148,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
58328,20,24,148,-1,108,88,19,25,147,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
58448,-1,27,148,-1,92,85,20,82,147,66,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
58641,21,24,147,-1,128,147,18,29,298,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
58790,-1,-1,148,-1,104,86,17,87,148,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
58913,56,-1,148,-1,95,80,20,100,148,65,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
59096,19,23,147,-1,96,99,20,26,148,66,47,25,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
59281,18,24,147,-1,87,88,21,82,147,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
59461,18,24,147,-1,87,87,19,24,147,67,46,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
59642,19,25,147,-1,92,103,20,25,148,68,45,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
59824,18,25,148,-1,95,102,20,26,147,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
60002,20,25,147,-1,91,83,19,27,147,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
60183,19,25,148,-1,93,94,18,25,147,68,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
60401,-1,25,148,-1,111,85,20,82,148,65,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
60615,-1,24,147,-1,133,131,23,82,148,66,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
60805,59,27,148,-1,108,86,44,83,147,66,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
60987,22,25,148,-1,104,95,24,24,148,67,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
61194,19,-1,148,-1,105,72,19,84,147,67,45,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
61405,20,-1,148,-1,103,93,20,26,147,67,46,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
61534,20,-1,299,-1,100,90,23,83,148,67,44,28,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
61718,19,25,148,-1,96,81,25,96,148,65,47,26,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
61819,19,27,298,-1,106,93,18,81,148,68,45,27,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
62007,19,27,147,-1,109,85,21,82,148,65,47,25,15,0,-15,-15,0.00,0.00,0.00,0.00,0,0,0
